"Locale","Image","Title","Product Codes: PartNumber","Model","Product Codes: UPC","ASIN","New, 3rd Party FBA: Current","New: Current","Buy Box 🚚: Current","Buy Box 🚚: 30 days avg.","Buy Box 🚚: 90 days avg.","Reviews: Rating Count - Format Specific","Reviews: Rating Count","New Offer Count: Current","Competitive Price Threshold","Size","Item Form","Pattern","Style","Material","Item Type","Variation Attributes","Color","Bought in past month","Sales Rank: Current","Parent ASIN","Product Codes: EAN","Product Codes: GTIN","Amazon: Current","Amazon: Highest","Amazon: 90 days OOS","FBA Pick&Pack Fee","Referral Fee %","Referral Fee based on current Buy Box price","Total Offer Count","Listed since","Brand","Brand Store Name","Brand Store URL Name","Categories: Root","Manufacturer","Return Rate"
"com","https://m.media-amazon.com/images/I/71cO-sTUv+L.jpg;https://m.media-amazon.com/images/I/61L-EwXr+9L.jpg;https://m.media-amazon.com/images/I/61DwkwAhU7L.jpg;https://m.media-amazon.com/images/I/61mOqF8XmrL.jpg;https://m.media-amazon.com/images/I/61VldrlGqnL.jpg;https://m.media-amazon.com/images/I/61Pxg31hakL.jpg;https://m.media-amazon.com/images/I/71r1SGX57qL.jpg;https://m.media-amazon.com/images/I/61CHJo0Aj2L.jpg","Crocs Unisex Classic Clog Mystic Purple Men's 3, Women's 5 M","10001-5BN","10001-5BN","196265881857","B0D619RMRY","","$ 76.40","","","","-","2","1","$ 49.99","5 Women/3 Men","","Solid","Classic Clog","","clogs-and-mules-shoes","Color: Mystic Purple; Size: 5 Women/3 Men;","Mystic Purple","","1","B0C8BJL1D3","0196265881857","","","","100 %","$ 6.21","15 %","-","1","2025/05/18","Crocs","Crocs","Crocs","Clothing, Shoes & Jewelry","Crocs",""
"com","https://m.media-amazon.com/images/I/61SuPkDGYfL.jpg;https://m.media-amazon.com/images/I/41YdW-7UHrL.jpg;https://m.media-amazon.com/images/I/51KAPptQIwL.jpg;https://m.media-amazon.com/images/I/312LTHQn90L.jpg;https://m.media-amazon.com/images/I/81ZI64fYqrL.jpg;https://m.media-amazon.com/images/I/613mlqDCE9L.jpg;https://m.media-amazon.com/images/I/412GelSJibL.jpg;https://m.media-amazon.com/images/I/8192q+zQ8gL.jpg;https://m.media-amazon.com/images/I/61sry0aFzyL.jpg;https://m.media-amazon.com/images/I/711PangI4UL.jpg;https://m.media-amazon.com/images/I/61ZEhJzfj6L.jpg","Crocs Unisex-Adult Classic Clogs, Black, 10 Men/12 Women","10001","10001-001","841158002474","B0014C5S7S","$ 80.00","$ 74.97","","$ 38.85","$ 37.67","23256","626560","4","$ 49.95","12 Women/10 Men","","solid","Classic Clogs (Best Sellers)","Cotton","clogs-and-mules-shoes","Color: Black; Size: 12 Women/10 Men;","Black","600","1","B0C8BJL1D3","0841158002474","","","$ 49.99","98 %","$ 7.64","15 %","-","4","2022/09/19","Crocs","Crocs","Crocs","Clothing, Shoes & Jewelry","Crocs",""
"com","https://m.media-amazon.com/images/I/81TR8F0H-FL.jpg;https://m.media-amazon.com/images/I/81-Z1+3rebL.jpg;https://m.media-amazon.com/images/I/710DYy6CfYL.jpg;https://m.media-amazon.com/images/I/91ADcTpezZL.jpg;https://m.media-amazon.com/images/I/71ZBvRKJKuL.jpg;https://m.media-amazon.com/images/I/81dz3IGwSHL.jpg;https://m.media-amazon.com/images/I/711GPSIY9FL.jpg","Crocs Unisex-Adult Classic Clogs, Navy, 7 Men/9 Women","10001","10001-410","841158002726","B0014C3X2K","$ 39.95","$ 39.95","","$ 38.36","$ 40.87","6798","626560","4","$ 39.99","9 Women/7 Men","","solid","Classic Clogs","Synthetic","clogs-and-mules-shoes","Color: Navy; Size: 9 Women/7 Men;","Navy","1000","1","B0C8BJL1D3","0841158002726","00841158002726","","$ 49.99","94 %","$ 7.08","14.99 %","-","4","2025/05/18","Crocs","Crocs","Crocs","Clothing, Shoes & Jewelry","Crocs",""
"com","https://m.media-amazon.com/images/I/81TR8F0H-FL.jpg;https://m.media-amazon.com/images/I/81-Z1+3rebL.jpg;https://m.media-amazon.com/images/I/710DYy6CfYL.jpg;https://m.media-amazon.com/images/I/91ADcTpezZL.jpg;https://m.media-amazon.com/images/I/71ZBvRKJKuL.jpg;https://m.media-amazon.com/images/I/81dz3IGwSHL.jpg;https://m.media-amazon.com/images/I/711GPSIY9FL.jpg","Crocs Unisex-Adult Classic Clogs, Navy, 6 Men/8 Women","10001","10001-410","841158002719","B0014C5ULM","$ 39.95","$ 39.95","","$ 40.94","$ 38.98","6692","626560","8","$ 39.99","8 Women/6 Men","","solid","Classic Clogs","Cotton","clogs-and-mules-shoes","Color: Navy; Size: 8 Women/6 Men;","Navy","900","1","B0C8BJL1D3","0841158002719","00841158002610, 00841158002719, 00883503220973","","$ 49.99","11 %","$ 7.00","14.99 %","-","8","2025/05/18","Crocs","Crocs","Crocs","Clothing, Shoes & Jewelry","Crocs",""
"com","https://m.media-amazon.com/images/I/81TR8F0H-FL.jpg;https://m.media-amazon.com/images/I/81-Z1+3rebL.jpg;https://m.media-amazon.com/images/I/710DYy6CfYL.jpg;https://m.media-amazon.com/images/I/91ADcTpezZL.jpg;https://m.media-amazon.com/images/I/71ZBvRKJKuL.jpg;https://m.media-amazon.com/images/I/81dz3IGwSHL.jpg;https://m.media-amazon.com/images/I/711GPSIY9FL.jpg","Crocs Unisex-Adult Classic Clogs, Navy, 12 Women/10 Men","10001","10001-410","191448964273, 841158002757","B0014C5USU","","$ 39.95","","$ 45.36","$ 44.55","8703","626562","3","$ 34.99","12 Women/10 Men","","solid","Classic Clogs","100% Croslite","clogs-and-mules-shoes","Color: Navy; Size: 12 Women/10 Men;","Navy","800","1","B0C8BJL1D3","0841158002757, 0191448679740, 0191448964273","00191448964273, 00841158002757","","$ 49.99","71 %","$ 8.20","14.99 %","-","3","2023/09/01","Crocs","Crocs","Crocs","Clothing, Shoes & Jewelry","Crocs",""
"com","https://m.media-amazon.com/images/I/81TR8F0H-FL.jpg;https://m.media-amazon.com/images/I/81-Z1+3rebL.jpg;https://m.media-amazon.com/images/I/710DYy6CfYL.jpg;https://m.media-amazon.com/images/I/91ADcTpezZL.jpg;https://m.media-amazon.com/images/I/71ZBvRKJKuL.jpg;https://m.media-amazon.com/images/I/81dz3IGwSHL.jpg;https://m.media-amazon.com/images/I/711GPSIY9FL.jpg","Crocs Unisex-Adult Classic Clogs, Navy, 9 Men/11 Women","10001","10001-410","841158002740","B0014C3X5C","$ 39.95","$ 39.95","","$ 43.53","$ 44.49","7159","626565","4","$ 34.99","11 Women/9 Men","","solid","Classic Clogs","100% Croslite","clogs-and-mules-shoes","Color: Navy; Size: 11 Women/9 Men;","Navy","1000","1","B0C8BJL1D3","0841158002740","","","$ 49.99","79 %","$ 7.24","15 %","-","4","2023/09/01","Crocs","Crocs","Crocs","Clothing, Shoes & Jewelry","Crocs",""
"com","https://m.media-amazon.com/images/I/81TR8F0H-FL.jpg;https://m.media-amazon.com/images/I/81-Z1+3rebL.jpg;https://m.media-amazon.com/images/I/710DYy6CfYL.jpg;https://m.media-amazon.com/images/I/91ADcTpezZL.jpg;https://m.media-amazon.com/images/I/71ZBvRKJKuL.jpg;https://m.media-amazon.com/images/I/81dz3IGwSHL.jpg;https://m.media-amazon.com/images/I/711GPSIY9FL.jpg","Crocs Men's and Women's Classic Clog, Navy, 15 Women/13 Men","10001","10001-410","841158002788","B0014C5UVM","$ 39.95","$ 39.95","","$ 42.96","$ 47.34","2972","626560","5","$ 34.99","15 Women/13 Men","","solid","Classic Clogs","Synthetic","clogs-and-mules-shoes","Color: Navy; Size: 15 Women/13 Men;","Navy","600","1","B0C8BJL1D3","0841158002788","00841158002788","","$ 49.99","54 %","$ 8.04","15.01 %","-","5","2023/09/01","Crocs","Crocs","Crocs","Clothing, Shoes & Jewelry","Crocs",""
"com","https://m.media-amazon.com/images/I/81TR8F0H-FL.jpg;https://m.media-amazon.com/images/I/81-Z1+3rebL.jpg;https://m.media-amazon.com/images/I/710DYy6CfYL.jpg;https://m.media-amazon.com/images/I/91ADcTpezZL.jpg;https://m.media-amazon.com/images/I/71ZBvRKJKuL.jpg;https://m.media-amazon.com/images/I/81dz3IGwSHL.jpg;https://m.media-amazon.com/images/I/711GPSIY9FL.jpg","Crocs Unisex-Adult Classic Clogs, Navy, 12 Men/14 Women","10001","10001","841158002771","B0014C2PZG","$ 39.95","$ 39.95","","$ 44.20","$ 46.83","3534","626565","4","$ 34.99","14 Women/12 Men","","solid","Classic Clogs","Cotton","clogs-and-mules-shoes","Color: Navy; Size: 14 Women/12 Men;","Navy","700","1","B0C8BJL1D3","0841158002771","","","$ 49.99","80 %","$ 7.56","15.01 %","-","4","2025/05/18","Crocs","Crocs","Crocs","Clothing, Shoes & Jewelry","Crocs",""
"com","https://m.media-amazon.com/images/I/71D6UBlkufL.jpg;https://m.media-amazon.com/images/I/71ySKGDzWoL.jpg;https://m.media-amazon.com/images/I/71b56a6qQ9L.jpg;https://m.media-amazon.com/images/I/81ws6mAo8nL.jpg;https://m.media-amazon.com/images/I/713+vhAAOUL.jpg;https://m.media-amazon.com/images/I/81JZVaZXpKL.jpg;https://m.media-amazon.com/images/I/71RFYBKNBvL.jpg","Crocs Unisex-Adult Classic Clogs, Slate Grey, 9 Men/11 Women","10001","10001","191448101791","B0725RV7G2","$ 39.95","$ 39.95","","$ 41.13","$ 37.23","5401","626565","1","$ 29.97","11 Women/9 Men","","solid","Classic Clogs (Best Sellers)","Synthetic","clogs-and-mules-shoes","Color: Slate Grey; Size: 11 Women/9 Men;","Slate Grey","1000","1","B0C8BJL1D3","0191448101791","","","$ 49.99","99 %","$ 7.72","14.99 %","-","1","2025/05/18","Crocs","Crocs","Crocs","Clothing, Shoes & Jewelry","Crocs",""
"com","https://m.media-amazon.com/images/I/71D6UBlkufL.jpg;https://m.media-amazon.com/images/I/71ySKGDzWoL.jpg;https://m.media-amazon.com/images/I/71b56a6qQ9L.jpg;https://m.media-amazon.com/images/I/81ws6mAo8nL.jpg;https://m.media-amazon.com/images/I/713+vhAAOUL.jpg;https://m.media-amazon.com/images/I/81JZVaZXpKL.jpg;https://m.media-amazon.com/images/I/71RFYBKNBvL.jpg","Crocs Unisex-Adult Classic Clogs, Slate Grey, 12 Men/14 Women","10001","10001","191448101685","B0728CNXWK","","$ 39.95","","$ 40.70","$ 38.32","3503","626563","2","$ 49.99","14 Women/12 Men","","solid","Classic Clogs (Best Sellers)","Synthetic","clogs-and-mules-shoes","Color: Slate Grey; Size: 14 Women/12 Men;","Slate Grey","1000","1","B0C8BJL1D3","0191448101685","","","$ 49.99","100 %","$ 7.64","14.99 %","-","2","2023/09/01","Crocs","Crocs","Crocs","Clothing, Shoes & Jewelry","Crocs",""
